"","run.code","focus.Rcrowd","position.Rcrowd","strategy.Rcrowd","focus.Rdisp","position.Rdisp","strategy.Rdisp"
"1","run001",0.489780950238132,0.441273309358843,"downward.heuristic",0.418536910788332,0.344284883750308,"downward.heuristic"
"2","run002",0.535718801887707,0.311946237118792,"downward.heuristic",0.42681969609484,0.48527047892337,"downward.heuristic"
"3","run003",0.0842045139998611,0.431696456198817,"pure.undefined",0.551238712713563,0.448759921538014,"downward.heuristic"
"4","run004",0.447497316557433,0.33029730169134,"downward.heuristic",0.398895033809677,0.452250182941602,"pure.bully"
"5","run005",0.389876950286203,0.546441070118513,"pure.bully",0.339211744878433,0.393390722903763,"downward.heuristic"
"6","run006",0.513550516289528,0.361200808157095,"downward.heuristic",0.509590164731793,0.564295196165513,"pure.bully"
"7","run007",0.377319465976595,0.406223561580571,"pure.bully",0.315809866072831,0.430232168399232,"pure.bully"
"8","run008",0.509197130160421,0.425686378907566,"downward.heuristic",0.322971102559182,0.391773246283807,"pure.bully"
"9","run009",0.494220532851699,0.484322805605356,"pure.bully",0.35983934774801,0.415503480709533,"pure.bully"
"10","run010",0.425206617132523,0.571324615141635,"pure.bully",0.224303888375297,0.402575181080761,"pure.bully"
"11","run011",0.462536366063385,0.470983050031314,"pure.bully",0.462031230770648,0.451237005914405,"downward.heuristic"
"12","run012",0.395317074270625,0.476192093162028,"pure.bully",0.369119909074162,0.423933787853618,"downward.heuristic"
"13","run013",0.446257413081325,0.397212328656956,"downward.heuristic",0.435519832048709,0.438854571551608,"downward.heuristic"
"14","run014",0.458659569228739,0.437971309322503,"pure.bully",0.373089105288268,0.370393495816555,"downward.heuristic"
"15","run015",0.459997807719793,0.394375929684994,"pure.bully",0.439006553478247,0.468364105152403,"pure.bully"
"16","run016",0.459387319513386,0.353739462493114,"downward.heuristic",0.336143049642204,0.508681204825577,"pure.bully"
"17","run017",0.341261622490572,0.542029066780456,"pure.bully",0.55843694174837,0.466698519596313,"downward.heuristic"
"18","run018",0.504938759407023,0.404435787101002,"downward.heuristic",0.461628563187397,0.579686838207215,"pure.bully"
"19","run019",0.391084883159903,0.517998878322993,"pure.bully",0.455806042426621,0.358174445648738,"downward.heuristic"
"20","run020",0.481314882668806,0.489898805178719,"pure.bully",0.307457557769632,0.354547447268234,"downward.heuristic"
"21","run021",0.359627061421273,0.465733369928938,"pure.bully",0.36446151077179,0.505633431432839,"pure.bully"
"22","run022",0.43335563974598,0.42330594385401,"downward.heuristic",0.550032811474761,0.439906229272512,"downward.heuristic"
"23","run023",0.320806926232304,0.41062769556784,"pure.bully",0.54159988297431,0.548064075076717,"pure.bully"
"24","run024",0.44570891294124,0.357318650617477,"downward.heuristic",0.39887067632863,0.468606444797127,"pure.bully"
"25","run025",0.374648518089218,0.434249327507844,"downward.heuristic",0.410919449684046,0.422793150690931,"pure.bully"
"26","run026",0.351277232996024,0.426758799441625,"downward.heuristic",0.398602713686402,0.430714712182146,"pure.bully"
"27","run027",0.496440084947123,0.377990019624631,"downward.heuristic",0.28799597990005,0.521067909404838,"pure.bully"
"28","run028",0.368780807279486,0.467097203003897,"pure.bully",0.373401850362261,0.395604358499739,"downward.heuristic"
"29","run029",0.404781510799086,0.430287014401754,"pure.bully",0.480601400629124,0.424749086313627,"pure.bully"
"30","run030",0.345872562382814,0.494697748977595,"pure.bully",0.632932853694113,0.349433210768037,"downward.heuristic"
"31","run031",0.528896058987312,0.389108274459625,"downward.heuristic",0.495331192030799,0.427375504235481,"downward.heuristic"
"32","run032",0.438176037935929,0.500209765750231,"pure.bully",0.380451383665502,0.41736812824253,"downward.heuristic"
"33","run033",0.50044671990085,0.383073855398976,"downward.heuristic",0.416180481327369,0.475260719625664,"pure.bully"
"34","run034",0.409614971988293,0.441179709539779,"downward.heuristic",0.509717694485796,0.463163301301677,"downward.heuristic"
"35","run035",0.455858707516004,0.549841254853931,"pure.bully",0.49961927919565,0.474933542864518,"pure.bully"
"36","run036",0.526202707300749,0.383432249702999,"downward.heuristic",0.201888856066956,0.430904054579457,"pure.bully"
"37","run037",0.391000295931044,0.474913232042864,"pure.bully",0.500000110842297,0.336496570721813,"downward.heuristic"
"38","run038",0.382433443561334,0.467658749078047,"downward.heuristic",0.422934021666512,0.405361860339503,"downward.heuristic"
"39","run039",0.430063919695346,0.373335559680819,"downward.heuristic",0.54079149092109,0.387251452840586,"downward.heuristic"
"40","run040",0.543159467020351,0.38899182951427,"downward.heuristic",0.479877022762211,0.396422598805627,"downward.heuristic"
"41","run041",0.404288449534993,0.483007027299822,"pure.bully",0.545949554025949,0.356515846140421,"downward.heuristic"
"42","run042",0.389180181151034,0.412521825953668,"pure.bully",0.591438633973813,0.403046903008873,"downward.heuristic"
"43","run043",0.339065215530823,0.453251266742487,"pure.bully",0.506133663798403,0.390817471213545,"downward.heuristic"
"44","run044",0.621887640108375,0.368942274914216,"downward.heuristic",0.35515835359577,0.347908306891226,"downward.heuristic"
"45","run045",0.411375512308661,0.489388146230605,"pure.bully",0.484792439579894,0.430689852428884,"downward.heuristic"
"46","run046",0.536868592022515,0.440532426059553,"downward.heuristic",0.195264140851511,0.468518057105465,"pure.bully"
"47","run047",0.512772630850622,0.470296080917285,"downward.heuristic",0.120636726442454,0.397210643802859,"pure.undefined"
"48","run048",0.454056119590885,0.467213848303251,"pure.bully",0.437404560436775,0.341091223279884,"downward.heuristic"
"49","run049",0.408810086080351,0.450481201590136,"pure.bully",0.399657046388227,0.445050061455946,"downward.heuristic"
"50","run050",0.52175905937047,0.440885915221059,"downward.heuristic",0.296326155620369,0.452041718741547,"pure.bully"
