"","runID","type","blur","focus","focus_ci_hi","focus_ci_lo","position","position_ci_hi","position_ci_lo"
"1","run001","crowd",0,0.781597161587353,0.845520667972486,0.671406802900826,0.407212256300051,0.523074884814239,0.338359313545966
"2","run001","crowd",0.1,0.629323841694331,0.752655217410451,0.433009996376013,0.361704886744812,0.447238281867147,0.262731004991362
"3","run001","crowd",0.2,0.482543743060675,0.646580848661994,0.257031617070462,0.320233695641547,0.420665905807939,0.198779641658336
"4","run001","crowd",0.3,0.382336698207693,0.549865194190089,0.186414357568209,0.258383227128004,0.404482498453645,0.144413724767548
"5","run001","crowd",0.4,0.296067766145106,0.466667813329205,0.11921359645759,0.246653014833493,0.419758389822002,0.135931035215423
"6","run001","crowd",0.5,0.248607874851434,0.439404674870651,0.0353517721302494,0.205365632617579,0.336520202474077,0.0838195856571852
"7","run001","crowd",0.6,0.178208109126466,0.368260637619188,-0.00379385217898471,0.17977333859827,0.283516061276425,0.0488745758841151
"8","run001","crowd",0.7,0.152752912639831,0.351385210490821,-0.0315755190003833,0.163557302480658,0.296276642437716,0.0452102884957305
"9","run001","crowd",0.8,0.117735137292943,0.343589299401606,-0.0986665075878286,0.138952273518808,0.26928852581111,0.0325741653397809
"10","run001","crowd",0.9,0.119938827839211,0.323676678160776,-0.111962332136848,0.136693409339572,0.272856181045823,0.00903070132737225
"11","run001","crowd",1,0.11226710897154,0.349011832312111,-0.0869576862879562,0.13895054687875,0.312222597788034,-0.00391753760473559
"12","run001","displace",0,0.762871475145167,0.816579562893563,0.648167938490718,0.398297699211616,0.463643260664832,0.344429862612033
"13","run001","displace",0.1,0.654174870812121,0.762438876552811,0.560039882841997,0.354374312004141,0.433020354119704,0.274773304866907
"14","run001","displace",0.2,0.561111015804597,0.663068703954626,0.451253450240304,0.322681563215117,0.455416109474147,0.226594549572668
"15","run001","displace",0.3,0.457500065873933,0.606207970549627,0.252305593017289,0.295334278334711,0.528191516085279,0.148357283555339
"16","run001","displace",0.4,0.368401979261946,0.526671734006251,0.199308929899116,0.255060581431704,0.398307220108589,0.12229793835324
"17","run001","displace",0.5,0.333664086005013,0.498689752139798,0.11748867864854,0.228648692005997,0.421169664438868,0.126761221966942
"18","run001","displace",0.6,0.265234155385997,0.432069462082899,0.0997002990822692,0.205963574612524,0.324857347532369,0.0959138183862535
"19","run001","displace",0.7,0.211537183086303,0.39777381643811,0.0313424327644626,0.176553928460923,0.316049480218293,0.0755667543562693
"20","run001","displace",0.8,0.142847223930699,0.332061122576206,-0.0898475679521666,0.161923021099609,0.325301822658809,0.0566427773198685
"21","run001","displace",0.9,0.155979616607625,0.366748622838143,-0.0369659915404511,0.152568732553807,0.342973930956111,0.0491671125720347
"22","run001","displace",1,0.123189950679345,0.346549630936668,-0.0532597174565884,0.124029618379917,0.221767905959528,0.00608237718568103
"23","run002","crowd",0,0.775761483360374,0.83504438540935,0.674373144108463,0.377132923981178,0.519860590401225,0.306123896904703
"24","run002","crowd",0.1,0.660736166258304,0.758149240038038,0.545450091837914,0.351866605644523,0.471253084539445,0.274988984847645
"25","run002","crowd",0.2,0.570579589892278,0.668028992610991,0.461178953271641,0.318124174730078,0.423770391095439,0.23480565186626
"26","run002","crowd",0.3,0.474745245132745,0.591127169647715,0.320949346581711,0.29069284640356,0.405091231906692,0.216355991141375
"27","run002","crowd",0.4,0.415947846580488,0.538474105519668,0.310468060587276,0.261322248419665,0.387541749485832,0.180874681304743
"28","run002","crowd",0.5,0.32874321030442,0.462721235689718,0.200506580210122,0.226239145775281,0.322022990427807,0.152555695564931
"29","run002","crowd",0.6,0.281177909910525,0.42864527616422,0.126843134699984,0.213841985752678,0.31529588273291,0.12470923696917
"30","run002","crowd",0.7,0.239857088547695,0.418620165169481,0.0762330890178629,0.187520504399657,0.338663166653825,0.0554021760864022
"31","run002","crowd",0.8,0.190358181600944,0.38955899709019,0.00795112507062234,0.174478425424879,0.38072344615761,0.0871558495970663
"32","run002","crowd",0.9,0.144049163688837,0.329420859914751,-0.0307308980527253,0.142664584143399,0.251779280625049,0.0504933479386957
"33","run002","crowd",1,0.110653002592441,0.355955166101525,-0.111135290248347,0.14695213034286,0.254983860662067,0.0396891726920065
"34","run002","displace",0,0.754719948464383,0.808444572344168,0.683553798497086,0.406736018021598,0.515419513905419,0.333051682306949
"35","run002","displace",0.1,0.62682550346862,0.738180947126865,0.493083127891727,0.354565648688714,0.461262485893724,0.270145437941557
"36","run002","displace",0.2,0.527749437352869,0.656931110231869,0.365391738319798,0.319039606038255,0.448104903154652,0.24019400212795
"37","run002","displace",0.3,0.40163187137324,0.545265662906433,0.204403576513767,0.274481395715408,0.511233463496245,0.158949363929389
"38","run002","displace",0.4,0.322044082319894,0.493525269723862,0.0741233543116392,0.236043445153319,0.362343396862182,0.137357082639171
"39","run002","displace",0.5,0.259044389385099,0.400068263884455,0.0911829065189931,0.211817572213135,0.38706914519208,0.0875673391193354
"40","run002","displace",0.6,0.191392998876501,0.36351821735022,0.000997228380684737,0.184531678811023,0.32682392851667,0.0849460204879805
"41","run002","displace",0.7,0.172203446904507,0.344098835565906,-0.014536031069903,0.161069614868173,0.392559406392336,0.0573492712191229
"42","run002","displace",0.8,0.156129311506282,0.349101998499214,-0.0189926279602255,0.148013076670427,0.368145775419981,0.028044807941058
"43","run002","displace",0.9,0.137088322504142,0.330445119317488,-0.0795822288476811,0.139454688412702,0.339911193603625,0.0237348475202418
"44","run002","displace",1,0.122264938341903,0.329961247265221,-0.112264328738609,0.136158752756567,0.282676452328881,0.00274391525875159
"45","run003","crowd",0,0.740767892802288,0.796106203475852,0.683712568988024,0.430173296735711,0.485696408603765,0.377546278382305
"46","run003","crowd",0.1,0.530061534454059,0.694921680131604,0.304307201458562,0.347771436092446,0.48433803311192,0.241628128667256
"47","run003","crowd",0.2,0.381398161084596,0.572244856428351,0.136073530765226,0.271700009562676,0.361900850592245,0.171121699467513
"48","run003","crowd",0.3,0.306032812201088,0.485758372731817,0.0936766285819385,0.220572270505423,0.321902340614608,0.104823026780828
"49","run003","crowd",0.4,0.221190798888319,0.402601398099355,-0.0386264654862184,0.197985734473177,0.312785370356928,0.0914012797567626
"50","run003","crowd",0.5,0.203532488475172,0.364556005735884,0.0333861335013337,0.173449370974504,0.339618871755287,0.0675592190002599
"51","run003","crowd",0.6,0.16930185984334,0.338809202822949,0.00292699130099331,0.170327341701275,0.305773571220522,0.0714486384888056
"52","run003","crowd",0.7,0.137204844230673,0.342500598063071,-0.0642634923943315,0.145730354968637,0.316107794227656,0.0366801610103439
"53","run003","crowd",0.8,0.128514392612459,0.341581681217489,-0.0874097426758704,0.158189668546087,0.336259574250929,0.0513230319213797
"54","run003","crowd",0.9,0.125755960600543,0.386197528388234,-0.072828212675097,0.149818039167465,0.355411268781318,0.0192809127935918
"55","run003","crowd",1,0.13449229177304,0.369476460135318,-0.110542339251044,0.148915717609329,0.351070815469093,0.0073571828747875
"56","run003","displace",0,0.798619165986866,0.860132155243889,0.715954775788101,0.393181402086799,0.4810922067588,0.318899447383477
"57","run003","displace",0.1,0.690002979161714,0.773098146335274,0.594851726441122,0.363300809003537,0.461043402253596,0.262716536595243
"58","run003","displace",0.2,0.559141279463401,0.673387236065848,0.316488939749409,0.330122951995439,0.48256242796476,0.195154338224908
"59","run003","displace",0.3,0.438888096990205,0.611266793285367,0.205996602772099,0.28544413951631,0.399291386509996,0.190934919112463
"60","run003","displace",0.4,0.36630952380879,0.530327833195873,0.118768700119608,0.25060201172771,0.362464067622563,0.146098172133901
"61","run003","displace",0.5,0.288296020376136,0.465657987555532,0.108560467641085,0.223905914227154,0.392241435610741,0.0947553510577672
"62","run003","displace",0.6,0.222766458576704,0.401002678874042,0.0148776919897408,0.192116452773405,0.42214999554447,0.102633615543447
"63","run003","displace",0.7,0.195946782375539,0.3717664020214,-0.0143587393191069,0.161734760181738,0.265822633328534,0.0594001760629105
"64","run003","displace",0.8,0.14368157147407,0.317962543830606,-0.0126422238472661,0.141677477215322,0.321711176138245,0.0228738056397954
"65","run003","displace",0.9,0.122130679615295,0.282387615105748,-0.0521841582149479,0.125294399849868,0.284551126749448,0.00422758355030123
"66","run003","displace",1,0.118873067282692,0.298151193083871,-0.105746391955543,0.12715318063876,0.288549779584258,0.0137164464137084
"67","run004","crowd",0,0.797754589117655,0.837566865239226,0.745845276035817,0.389338339760402,0.438165632371161,0.348605515688989
"68","run004","crowd",0.1,0.568810173844527,0.714801971987867,0.290662283912086,0.340177552429716,0.425659754182257,0.235687330835096
