"","runID","COR"
"1","run001",0.216329070471035
"2","run002",0.172500541167581
"3","run003",-0.108000591162748
"4","run004",0.268172215800921
"5","run005",0.101700806984003
"6","run006",-0.00147191753208365
"7","run007",0.0343599604025367
"8","run008",0.0107279465450447
"9","run009",-0.0768030401132338
"10","run010",-0.184695869847667
"11","run011",0.0352939586688762
"12","run012",0.22764180696987
"13","run013",-0.0900090546206905
"14","run014",0.265112784544178
"15","run015",-0.30458732327528
"16","run016",-0.141973873405447
"17","run017",-0.228159070351787
"18","run018",0.101869849288195
"19","run019",0.11832275994561
"20","run020",-0.192268175411265
"21","run021",0.247043475839795
"22","run022",0.301052951099221
"23","run023",0.0633537606310178
"24","run024",0.281308004777021
"25","run025",-0.227024380798227
"26","run026",-0.310699129667521
"27","run027",0.0211790437462067
"28","run028",0.100684861848051
"29","run029",-0.116861691782902
"30","run030",-0.200340802372565
"31","run031",0.0671241583487213
"32","run032",-0.00710423122879623
"33","run033",0.280842486547266
"34","run034",0.0188435455046979
"35","run035",0.0814477937931362
"36","run036",-0.0156370102214158
"37","run037",0.241540412286544
"38","run038",0.187565013070929
"39","run039",0.329981220550525
"40","run040",0.000560002064395415
"41","run041",-0.0450760002343004
"42","run042",0.284186962253587
"43","run043",0.196277258082222
"44","run044",0.00953272647976319
"45","run045",0.0537653483958417
"46","run046",0.202427562794303
"47","run047",0.21416955048793
"48","run048",0.151925969172651
"49","run049",-0.147824572641723
"50","run050",-0.0278549140607043
"51","run051",-0.170676284301947
"52","run052",-0.157483339561653
"53","run053",-0.205680152868377
"54","run054",0.0734181043891434
"55","run055",0.0721499746812508
"56","run056",0.0412576693905816
"57","run057",-0.0861780165656478
"58","run058",-0.00568278951212645
"59","run059",-0.243923011377214
"60","run060",-0.0451219035661731
"61","run061",-0.0588939464589977
"62","run062",-0.289185869870946
"63","run063",-0.152323653707549
"64","run064",-0.122977378334028
"65","run065",0.342800665681525
"66","run066",-0.0253676476186279
"67","run067",-0.0899553529724972
"68","run068",0.142338552131593
"69","run069",0.133693440193057
"70","run070",0.025963389610714
"71","run071",-0.0513583842783491
"72","run072",0.296695453343034
"73","run073",-0.00053656357009037
"74","run074",0.0370598233220374
"75","run075",0.154188196473641
"76","run076",0.123609134332187
"77","run077",0.174937946821653
"78","run078",0.306137162066998
"79","run079",0.0382016034228169
"80","run080",-0.0927867180538166
"81","run081",0.136738920701076
"82","run082",0.280343449361729
"83","run083",0.297831540721601
"84","run084",-0.0484195030084178
"85","run085",0.0523308970960552
"86","run086",0.322439847647056
"87","run087",-0.0823671277080061
"88","run088",0.0782066238037174
"89","run089",-0.0730010520815671
"90","run090",0.151699573288466
"91","run091",-0.0542111176338796
"92","run092",0.362301638711515
"93","run093",0.259156702744297
"94","run094",0.186304421474215
"95","run095",0.0099965777213195
"96","run096",0.121935076180507
"97","run097",-0.0950735336855269
"98","run098",0.229576897033305
"99","run099",0.172201719471932
"100","run100",-0.00134624022013321
