"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt27","run028",0.100684861848051,61,51,0.544642857142857,0.455357142857143,36,30,0.0857142857142857,0.0714285714285714,0.15,0.0337914862914863,0.838,210,0.923,0.692,0.1487,0.0343260995858399,0.857,210,1,1
"Pt28","run029",-0.116861691782902,50,62,0.446428571428571,0.553571428571429,31,34,0.0738095238095238,0.080952380952381,0.1487,0.0315955473098331,0.857,210,0.857,0.429,0.1435,0.0339631003916719,0.838,210,0.8,0.2
"Pt29","run030",-0.200340802372565,59,53,0.526785714285714,0.473214285714286,33,32,0.0785714285714286,0.0761904761904762,0.1506,0.032256513327942,0.852,210,1,1,0.1429,0.0238951668821799,0.848,210,0.75,0
"Pt30","run031",0.0671241583487213,57,55,0.508928571428571,0.491071428571429,37,33,0.0880952380952381,0.0785714285714286,0.1468,0.0362811791383221,0.833,210,1,1,0.1526,0.0301437111641195,0.848,210,1,1
"Pt31","run032",-0.00710423122879623,59,53,0.526785714285714,0.473214285714286,37,30,0.0880952380952381,0.0714285714285714,0.1565,0.0333513708513708,0.833,210,1,1,0.1396,0.0281491788634646,0.862,210,0.818,0.273
"Pt32","run033",0.280842486547266,58,54,0.517857142857143,0.482142857142857,36,33,0.0857142857142857,0.0785714285714286,0.1578,0.0334724799010512,0.838,210,1,1,0.1519,0.0375443207586064,0.843,210,0.923,0.692
"Pt33","run034",0.0188435455046979,59,53,0.526785714285714,0.473214285714286,36,31,0.0857142857142857,0.0738095238095238,0.1481,0.0406450069205172,0.833,210,0.933,0.733,0.1455,0.0243599257884972,0.862,210,1,1
"Pt34","run035",0.0814477937931362,58,54,0.517857142857143,0.482142857142857,32,33,0.0761904761904762,0.0785714285714286,0.1578,0.0309662956091528,0.848,210,0.909,0.636,0.1364,0.029846423417852,0.852,210,1,1
"Pt35","run036",-0.0156370102214158,52,60,0.464285714285714,0.535714285714286,33,34,0.0785714285714286,0.080952380952381,0.1532,0.0318181818181819,0.848,210,0.923,0.692,0.1396,0.0345841063698205,0.843,210,1,1
"Pt36","run037",0.241540412286544,67,45,0.598214285714286,0.401785714285714,38,31,0.0904761904761905,0.0738095238095238,0.1461,0.044030377991417,0.824,210,0.909,0.636,0.1545,0.0259565774361691,0.862,210,1,1
"Pt37","run038",0.187565013070929,70,42,0.625,0.375,37,29,0.0880952380952381,0.0690476190476191,0.1552,0.0432977736549165,0.833,210,1,1,0.1377,0.0229045557616985,0.867,210,0.5,-1
"Pt38","run039",0.329981220550525,57,55,0.508928571428571,0.491071428571429,31,36,0.0738095238095238,0.0857142857142857,0.1468,0.0333646229054394,0.857,210,1,1,0.1442,0.0315115440115438,0.838,210,0.833,0.333
"Pt39","run040",0.000560002064395415,54,58,0.482142857142857,0.517857142857143,42,29,0.1,0.0690476190476191,0.161,0.0499670171098742,0.8,210,0.966,0.862,0.1422,0.0228220985363841,0.867,210,0.833,0.333
"Pt40","run041",-0.0450760002343004,56,56,0.5,0.5,35,32,0.0833333333333333,0.0761904761904762,0.1506,0.0326473922902495,0.838,210,0.909,0.636,0.1455,0.031376865764621,0.857,210,1,1
"Pt41","run042",0.284186962253587,51,61,0.455357142857143,0.544642857142857,31,38,0.0738095238095238,0.0904761904761905,0.1468,0.0298634302205729,0.857,210,0.917,0.667,0.1565,0.0390621472254126,0.824,210,1,1
"Pt42","run043",0.196277258082222,55,57,0.491071428571429,0.508928571428571,37,33,0.0880952380952381,0.0785714285714286,0.1364,0.0346345377978032,0.838,210,0.833,0.333,0.1506,0.0371427098978118,0.843,210,1,1
"Pt43","run044",0.00953272647976319,67,45,0.598214285714286,0.401785714285714,36,29,0.0857142857142857,0.0690476190476191,0.1461,0.0348681621408894,0.838,210,0.889,0.556,0.1461,0.030388837353123,0.862,210,1,1
