"","runID","type","blur","focus","focus_ci_hi","focus_ci_lo","position","position_ci_hi","position_ci_lo"
"1","run001","displace",0,0.756778923454479,0.829339009223006,0.67030152092478,0.40591953308936,0.508047240785338,0.341573247094331
"2","run001","displace",0.1,0.663207484023256,0.783247381661693,0.504505348978157,0.369031684916671,0.449171355390993,0.27937402075539
"3","run001","displace",0.2,0.572430522387731,0.738931367040733,0.392583815542591,0.350918265315405,0.502525490960885,0.258077767904456
"4","run001","displace",0.3,0.494570372315099,0.660701421109975,0.308142358713675,0.308247883335077,0.456334722171477,0.205014276928286
"5","run001","displace",0.4,0.424571892288175,0.573688786282024,0.1932478930961,0.270695558949794,0.388753075720906,0.134144968028591
"6","run001","displace",0.5,0.359649952077401,0.587265517713649,0.121593831497515,0.257004787918948,0.42292294260645,0.102516666122183
"7","run001","displace",0.6,0.285919536900923,0.479752723456315,0.090879126373981,0.234913340551729,0.377196100343835,0.108985945390513
"8","run001","displace",0.7,0.217424604099181,0.413882747309482,0.0264246765663889,0.210523512679389,0.371495817574876,0.0656219208655259
"9","run001","displace",0.8,0.207510975935708,0.423806689550946,-0.00111358191162673,0.201765110570201,0.367709503900637,0.0380100151124127
"10","run001","displace",0.9,0.18679342144566,0.413803262798758,-0.0714163892848833,0.197675605969672,0.372062312215679,0.0884239729234111
"11","run001","displace",1,0.180818191866601,0.42645279070571,-0.0810799871420093,0.207227425957498,0.383009349544754,0.0650983289336716
"12","run002","displace",0,0.7360908293492,0.803598660338519,0.671828162540117,0.394490486488388,0.4586117015439,0.331371104608733
"13","run002","displace",0.1,0.634238412714405,0.7371308595054,0.493906252207678,0.366031782975848,0.456033852682032,0.288399956333724
"14","run002","displace",0.2,0.56187806415075,0.69088679784976,0.425779135995016,0.337713310377111,0.406565349252423,0.271561310719635
"15","run002","displace",0.3,0.510025719380747,0.651253900991211,0.339867785435663,0.314749179271172,0.402692810661928,0.222904072052968
"16","run002","displace",0.4,0.43291514762587,0.590744924774151,0.292371414148873,0.28616622711767,0.410867648875209,0.17559718701591
"17","run002","displace",0.5,0.366557225880208,0.524414061480899,0.217733761927166,0.262628138711118,0.355610310416851,0.15303072896478
"18","run002","displace",0.6,0.313197173970251,0.505085443728811,0.134079114161642,0.244346531287172,0.402398422860704,0.141920840908703
"19","run002","displace",0.7,0.259721954133024,0.426394484727941,0.0293533522907029,0.230186758538593,0.372917417961638,0.11182678759933
"20","run002","displace",0.8,0.235573798002344,0.44945474516506,0.0217140050567599,0.204943085142844,0.348676188210315,0.0679327167939529
"21","run002","displace",0.9,0.208013352697859,0.460970645615557,-0.0394268963324702,0.188878956136809,0.318480119366459,0.0268182489219023
"22","run002","displace",1,0.173212751223703,0.394550884670714,-0.0691866323422046,0.187464342035476,0.348777156379519,0.0428384744457516
"23","run003","displace",0,0.746266612055815,0.828159883354783,0.659792349982064,0.425242439124439,0.519638039708893,0.351818333097063
"24","run003","displace",0.1,0.671971347802942,0.775110882601752,0.541729659632715,0.385765449349902,0.48651897672658,0.27097574131216
"25","run003","displace",0.2,0.583184140851591,0.734710005404845,0.351577696421352,0.371359470366243,0.471380023945352,0.266659142806941
"26","run003","displace",0.3,0.519863288143331,0.67997566401425,0.306303863913323,0.336538020444572,0.471315941318247,0.226561474514173
"27","run003","displace",0.4,0.468152853430817,0.652902870918015,0.217578137468953,0.323765222300795,0.458676411167337,0.174726429608781
"28","run003","displace",0.5,0.379774292486744,0.610232189982528,0.0754219947768345,0.290756416683305,0.422715027744837,0.151483303536035
"29","run003","displace",0.6,0.339202151895888,0.563196130086974,0.0805151419979793,0.277012838680567,0.433620695013225,0.164468018039295
"30","run003","displace",0.7,0.279231436816328,0.488662124743742,0.0345448872509123,0.243945158330666,0.384397736882149,0.110083107684803
"31","run003","displace",0.8,0.236918227849806,0.482118309159983,-0.000184927339684589,0.236360223318562,0.39613421631809,0.0755992740939656
"32","run003","displace",0.9,0.214153291788849,0.431469150282132,-0.0707645622140092,0.214592000732813,0.352655340042423,0.0979560061784849
"33","run003","displace",1,0.184802545549066,0.424074725008909,-0.056590628709177,0.188091898935766,0.336618643677224,0.0541533189433081
"34","run004","displace",0,0.743460501026081,0.804575850413834,0.644680535815033,0.418049712953468,0.508284241744057,0.353840394984191
"35","run004","displace",0.1,0.631962738004902,0.768124425212257,0.487852886821994,0.38381979265457,0.478777714824258,0.290262654552287
"36","run004","displace",0.2,0.541175796875815,0.665879794352525,0.352271807965321,0.342690174880321,0.444868453345836,0.221581112532338
"37","run004","displace",0.3,0.456373839803083,0.649617879367251,0.166224617953109,0.316179271957809,0.444159794042375,0.2219031652318
"38","run004","displace",0.4,0.404957118008222,0.606387898099645,0.185096136040342,0.293828251072456,0.434272390139324,0.184879248720176
"39","run004","displace",0.5,0.331748054164496,0.519950915462144,0.0426854962761176,0.259878091864622,0.364110948927369,0.137204592049776
"40","run004","displace",0.6,0.249925657773946,0.47400178869591,0.0373007657642847,0.233698702450492,0.387525961628513,0.125448872420494
"41","run004","displace",0.7,0.228595653217297,0.425197739449114,-0.0272194206570269,0.216940046186046,0.34931330694526,0.0925304575519159
"42","run004","displace",0.8,0.198354787646273,0.434500052675659,-0.156388914778688,0.205096905985872,0.369847161722542,0.0893704825332419
"43","run004","displace",0.9,0.187615763461367,0.429249469805501,-0.0432787836865748,0.215048992851957,0.404248103342642,0.0836566276287637
"44","run004","displace",1,0.177218760192522,0.407872304415866,-0.0424492421112819,0.193031439284812,0.332301794461967,0.0799080449545813
