"","run.code","focus.Rdisp","position.Rdisp","strategy.Rdisp"
"1","run001",0.707148628808575,0.32355248667592,"downward.heuristic"
"2","run002",0.515748189842753,0.443282856640284,"downward.heuristic"
"3","run003",0.683025070804827,0.45045281388203,"downward.heuristic"
"4","run004",0.380181575755299,0.367431595866535,"downward.heuristic"
"5","run005",0.651428889817282,0.365598907679203,"downward.heuristic"
"6","run006",0.589787168857531,0.404575090839342,"downward.heuristic"
"7","run007",0.294542002665015,0.460713585995995,"pure.undefined"
"8","run008",0.537613467147973,0.425752459688072,"downward.heuristic"
"9","run009",0.604455749353883,0.516845671201776,"pure.bully"
"10","run010",0.693524053202009,0.448975554579624,"downward.heuristic"
"11","run011",0.62935310118242,0.337004443714966,"downward.heuristic"
"12","run012",0.536875251605553,0.449102565578958,"downward.heuristic"
"13","run013",0.57734884313591,0.35235916510671,"downward.heuristic"
"14","run014",0.776056529731579,0.408563349903644,"downward.heuristic"
"15","run015",0.558630165573998,0.30471780874372,"downward.heuristic"
"16","run016",0.479666136991314,0.372635349422392,"downward.heuristic"
"17","run017",0.601365729103933,0.593695730647208,"pure.bully"
"18","run018",0.47147915626183,0.429399431901662,"downward.heuristic"
"19","run019",0.779272919686772,0.353793008050452,"downward.heuristic"
"20","run020",0.639630977860726,0.392123315759468,"downward.heuristic"
"21","run021",0.642112536416803,0.434511993965687,"downward.heuristic"
"22","run022",0.661887985300629,0.348390501953099,"downward.heuristic"
"23","run023",0.736449947349773,0.474032767721208,"downward.heuristic"
"24","run024",0.724175907994768,0.430825355614837,"downward.heuristic"
"25","run025",0.608707716029838,0.44471659839423,"downward.heuristic"
"26","run026",0.75930064101509,0.400547599915875,"downward.heuristic"
"27","run027",0.684638942977387,0.444279983354318,"downward.heuristic"
"28","run028",0.613668048089662,0.432497695212141,"downward.heuristic"
"29","run029",0.799867571413125,0.475849461445948,"downward.heuristic"
"30","run030",0.541750681342658,0.516379320920768,"downward.heuristic"
"31","run031",0.488058564741955,0.439842024375702,"downward.heuristic"
"32","run032",0.66074075661884,0.455262711856609,"downward.heuristic"
"33","run033",0.412658008310792,0.373815721383763,"downward.heuristic"
"34","run034",0.655154863203343,0.353649076881036,"downward.heuristic"
"35","run035",0.619079883797578,0.40937347030889,"downward.heuristic"
"36","run036",0.67154036889637,0.486574532419771,"downward.heuristic"
"37","run037",0.527287719882486,0.374858241979833,"downward.heuristic"
"38","run038",0.617281542873044,0.446639056852862,"downward.heuristic"
"39","run039",0.827086396036721,0.360765855739387,"downward.heuristic"
"40","run040",0.544294558785677,0.377895427074956,"downward.heuristic"
"41","run041",0.306331144545982,0.515893745104131,"pure.undefined"
"42","run042",0.54329318543592,0.441125993423305,"downward.heuristic"
"43","run043",0.604515155469194,0.462743202818023,"downward.heuristic"
"44","run044",0.491958192479005,0.605465985674918,"pure.bully"
"45","run045",0.646924443421985,0.387844634510694,"downward.heuristic"
"46","run046",0.545837840299598,0.367407257322773,"downward.heuristic"
"47","run047",0.776201362914973,0.301379386757592,"downward.heuristic"
"48","run048",0.537509548141226,0.432156240968154,"downward.heuristic"
"49","run049",0.575827259360185,0.406166275809245,"downward.heuristic"
"50","run050",0.676904996229087,0.423140784959933,"downward.heuristic"
"51","run051",0.758315141768642,0.416916007567967,"downward.heuristic"
"52","run052",0.550536532276782,0.493422100720564,"downward.heuristic"
"53","run053",0.748817426039159,0.447031101852846,"downward.heuristic"
"54","run054",0.614431521329216,0.372262631767843,"downward.heuristic"
"55","run055",0.609912795507694,0.374456177127222,"downward.heuristic"
"56","run056",0.447116869645276,0.36031086984951,"downward.heuristic"
"57","run057",0.493121962159502,0.374393900792383,"downward.heuristic"
"58","run058",0.697605030352482,0.460089444119641,"downward.heuristic"
"59","run059",0.631286962977204,0.490713020269946,"downward.heuristic"
"60","run060",0.556835487821924,0.262133286011033,"downward.heuristic"
"61","run061",0.644167639442421,0.399533284567972,"downward.heuristic"
"62","run062",0.516218275334967,0.377038181799309,"downward.heuristic"
"63","run063",0.695160096039832,0.39504910233426,"downward.heuristic"
"64","run064",0.716787260013037,0.390181857779092,"downward.heuristic"
"65","run065",0.730803103221351,0.496612817583107,"downward.heuristic"
"66","run066",0.724100326023502,0.352899011992955,"downward.heuristic"
"67","run067",0.436158272702462,0.455289988866999,"downward.heuristic"
"68","run068",0.585443187927477,0.398469326059099,"downward.heuristic"
"69","run069",0.580746407037189,0.384576333081761,"downward.heuristic"
"70","run070",0.697424601826576,0.333960920566621,"downward.heuristic"
"71","run071",0.746598071030628,0.327565708553912,"downward.heuristic"
"72","run072",0.604151128089897,0.317543430731611,"downward.heuristic"
"73","run073",0.780303393613755,0.44583889744271,"downward.heuristic"
"74","run074",0.583888789119488,0.415466575793609,"downward.heuristic"
"75","run075",0.542057001554916,0.376418389935897,"downward.heuristic"
"76","run076",0.482791542337771,0.437765419812528,"downward.heuristic"
"77","run077",0.347514213852538,0.454240622881135,"downward.heuristic"
"78","run078",0.667291027693165,0.456966368723224,"downward.heuristic"
"79","run079",0.599666821577858,0.38926855740792,"downward.heuristic"
"80","run080",0.598030821293006,0.496715848521771,"downward.heuristic"
"81","run081",0.614393885810382,0.359652257788334,"downward.heuristic"
"82","run082",0.41678062645326,0.396244408246252,"downward.heuristic"
"83","run083",0.614572866517605,0.38252838642929,"downward.heuristic"
"84","run084",0.724122040655175,0.425587487183092,"downward.heuristic"
"85","run085",0.630346683628926,0.340249066385746,"downward.heuristic"
"86","run086",0.716840520329192,0.46491640902661,"downward.heuristic"
"87","run087",0.41523962670128,0.473300342613478,"downward.heuristic"
"88","run088",0.576713107169249,0.49495011360213,"downward.heuristic"
"89","run089",0.565028551441842,0.368303845185857,"downward.heuristic"
"90","run090",0.619373842623675,0.37771490509086,"downward.heuristic"
"91","run091",0.538249388131933,0.369141987446825,"downward.heuristic"
"92","run092",0.761484435266322,0.470264185500361,"downward.heuristic"
"93","run093",0.527966767405675,0.57349679391733,"pure.bully"
"94","run094",0.571169673731647,0.470190593703618,"downward.heuristic"
"95","run095",0.613346154604749,0.358840572147015,"downward.heuristic"
"96","run096",0.556799485146653,0.380197525866981,"downward.heuristic"
"97","run097",0.782451918177528,0.372845354341034,"downward.heuristic"
"98","run098",0.54570636175746,0.341573078455939,"downward.heuristic"
"99","run099",0.641674365791241,0.380529811882665,"downward.heuristic"
"100","run100",0.75237575261266,0.413458517309846,"downward.heuristic"
