"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt68","run069","run069",456,335,0.576485461441214,0.423514538558786,103,106,0.245238095238095,0.252380952380952,0.3032,0.164524619013594,0.571,210,0.98,0.922,0.2812,0.14764513170506,0.567,210,0.949,0.794
"Pt69","run070","run070",398,393,0.503160556257901,0.496839443742099,104,102,0.247619047619048,0.242857142857143,0.2773,0.140459282928049,0.562,210,0.955,0.818,0.2851,0.15254579912117,0.571,210,0.973,0.893
"Pt70","run071","run071",464,327,0.586599241466498,0.413400758533502,107,111,0.254761904761905,0.264285714285714,0.3104,0.160108342154206,0.567,210,0.978,0.914,0.2799,0.164693041672097,0.533,210,0.923,0.694
"Pt71","run072","run072",403,388,0.509481668773704,0.490518331226296,102,112,0.242857142857143,0.266666666666667,0.2584,0.151458929190484,0.576,210,0.928,0.712,0.3305,0.185669997311965,0.519,210,0.978,0.914
"Pt72","run073","run073",349,442,0.441213653603034,0.558786346396966,118,96,0.280952380952381,0.228571428571429,0.3383,0.197865113971602,0.49,210,0.966,0.864,0.276,0.14107242449491,0.595,210,0.96,0.841
"Pt73","run074","run074",397,394,0.501896333754741,0.498103666245259,113,101,0.269047619047619,0.24047619047619,0.2727,0.16478468578826,0.538,210,0.942,0.769,0.2955,0.160118041133424,0.557,210,0.932,0.727
"Pt74","run075","run075",382,409,0.482932996207332,0.517067003792667,104,102,0.247619047619048,0.242857142857143,0.3506,0.178443554911747,0.538,210,0.988,0.953,0.2448,0.158075013552701,0.581,210,0.937,0.746
"Pt75","run076","run076",418,373,0.528445006321112,0.471554993678887,101,106,0.24047619047619,0.252380952380952,0.25,0.156612649388231,0.586,210,0.963,0.851,0.3143,0.162274348462278,0.538,210,0.963,0.851
"Pt76","run077","run077",459,332,0.580278128950695,0.419721871049305,106,103,0.252380952380952,0.245238095238095,0.3123,0.158470127841829,0.562,210,0.971,0.886,0.2909,0.15310498299664,0.557,210,0.942,0.768
"Pt77","run078","run078",443,348,0.560050568900126,0.439949431099874,100,107,0.238095238095238,0.254761904761905,0.2805,0.150944429604822,0.581,210,0.963,0.852,0.3201,0.155504914701377,0.548,210,0.96,0.84
"Pt78","run079","run079",382,409,0.482932996207332,0.517067003792667,103,108,0.245238095238095,0.257142857142857,0.2864,0.158746029638239,0.538,210,0.927,0.707,0.2695,0.175035217202568,0.552,210,0.938,0.753
"Pt79","run080","run080",396,395,0.50063211125158,0.49936788874842,106,103,0.252380952380952,0.245238095238095,0.261,0.152499191500858,0.562,210,0.944,0.774,0.2727,0.153350351290982,0.567,210,0.922,0.688
"Pt80","run081","run081",468,323,0.59165613147914,0.40834386852086,111,102,0.264285714285714,0.242857142857143,0.3123,0.174168869833351,0.538,210,0.963,0.853,0.2604,0.155470058038864,0.567,210,0.943,0.771
"Pt81","run082","run082",438,353,0.553729456384324,0.446270543615676,111,107,0.264285714285714,0.254761904761905,0.2857,0.155496967402413,0.543,210,0.946,0.784,0.2981,0.165898090838067,0.552,210,0.986,0.946
"Pt82","run083","run083",429,362,0.542351453855879,0.457648546144121,116,100,0.276190476190476,0.238095238095238,0.3052,0.168248701696945,0.529,210,0.942,0.768,0.289,0.161549597717269,0.567,210,0.981,0.925
"Pt83","run084","run084",405,386,0.512010113780025,0.487989886219975,104,105,0.247619047619048,0.25,0.2877,0.164339100877503,0.557,210,0.973,0.892,0.3084,0.172321577489713,0.548,210,0.939,0.755
"Pt84","run085","run085",425,366,0.537294563843236,0.462705436156764,95,113,0.226190476190476,0.269047619047619,0.2701,0.120080813637391,0.614,210,0.952,0.81,0.3162,0.191543494198817,0.519,210,0.961,0.845
"Pt85","run086","run086",526,265,0.664981036662453,0.335018963337547,109,104,0.25952380952381,0.247619047619048,0.3097,0.160131034576834,0.543,210,0.963,0.85,0.2721,0.148197294167569,0.567,210,0.929,0.716
"Pt86","run087","run087",387,404,0.489254108723135,0.510745891276865,104,117,0.247619047619048,0.278571428571429,0.2864,0.16412771618379,0.552,210,0.978,0.91,0.3331,0.182915528385152,0.514,210,0.958,0.833
"Pt87","run088","run088",330,461,0.417193426042984,0.582806573957016,94,112,0.223809523809524,0.266666666666667,0.2597,0.136846047013985,0.6,210,0.955,0.82,0.3403,0.183545169666215,0.529,210,0.979,0.914
"Pt88","run089","run089",362,429,0.457648546144121,0.542351453855879,114,100,0.271428571428571,0.238095238095238,0.3175,0.176804553285305,0.529,210,0.962,0.846,0.2838,0.151616759392101,0.567,210,0.957,0.83
"Pt89","run090","run090",405,386,0.512010113780025,0.487989886219975,104,109,0.247619047619048,0.25952380952381,0.2864,0.151894266394773,0.548,210,0.945,0.779,0.2786,0.167625305107201,0.557,210,0.962,0.849
"Pt90","run091","run091",434,357,0.548672566371681,0.451327433628319,108,109,0.257142857142857,0.25952380952381,0.2987,0.156200529554008,0.552,210,0.947,0.787,0.3091,0.179264255104545,0.529,210,0.956,0.825
"Pt91","run092","run092",462,329,0.584070796460177,0.415929203539823,95,122,0.226190476190476,0.29047619047619,0.2429,0.152988598702885,0.59,210,0.918,0.672,0.3519,0.192530040506231,0.49,210,0.959,0.836
"Pt92","run093","run093",411,380,0.519595448798989,0.480404551201011,109,100,0.25952380952381,0.238095238095238,0.2825,0.168305012080307,0.548,210,0.948,0.794,0.2805,0.163492019151629,0.562,210,0.942,0.768
"Pt93","run094","run094",439,352,0.554993678887484,0.445006321112516,101,108,0.24047619047619,0.257142857142857,0.2877,0.145757814099953,0.581,210,1,1,0.3058,0.17708732591727,0.543,210,0.981,0.925
"Pt94","run095","run095",356,435,0.450063211125158,0.549936788874842,109,103,0.25952380952381,0.245238095238095,0.3221,0.174108143517655,0.538,210,0.978,0.91,0.2773,0.166270951760779,0.562,210,0.975,0.901
"Pt95","run096","run096",381,410,0.481668773704172,0.518331226295828,99,108,0.235714285714286,0.257142857142857,0.3253,0.170129511011042,0.562,210,0.981,0.924,0.2578,0.145662420091632,0.543,210,0.917,0.667
"Pt96","run097","run097",412,379,0.520859671302149,0.479140328697851,98,110,0.233333333333333,0.261904761904762,0.2688,0.157429859371555,0.581,210,0.961,0.845,0.3032,0.178068510942414,0.533,210,0.974,0.895
"Pt97","run098","run098",360,431,0.4551201011378,0.5448798988622,97,121,0.230952380952381,0.288095238095238,0.3104,0.161314477670765,0.576,210,0.98,0.919,0.2896,0.173733145103264,0.505,210,0.948,0.791
"Pt98","run099","run099",430,361,0.543615676359039,0.456384323640961,103,109,0.245238095238095,0.25952380952381,0.2442,0.155684440023553,0.576,210,0.964,0.857,0.3383,0.161778720583474,0.543,210,0.974,0.897
"Pt99","run100","run100",406,385,0.513274336283186,0.486725663716814,101,116,0.24047619047619,0.276190476190476,0.2818,0.15823807300698,0.557,210,0.964,0.857,0.3247,0.169549476757341,0.533,210,0.971,0.885
