"","run.code","focus.Rcrowd","position.Rcrowd","strategy.Rcrowd","focus.Rdisp","position.Rdisp","strategy.Rdisp"
"1","run001",0.682667735335947,0.384175780971221,"downward.heuristic",0.586580833347816,0.484033171947787,"downward.heuristic"
"2","run002",0.658728342393668,0.411346627231031,"downward.heuristic",0.733769532740928,0.297077007209759,"downward.heuristic"
"3","run003",0.695194092797735,0.448806469920121,"downward.heuristic",0.657846570217979,0.265983905995584,"downward.heuristic"
"4","run004",0.73486152004329,0.286145295734099,"downward.heuristic",0.693160178536376,0.460526535113862,"downward.heuristic"
"5","run005",0.575410637909304,0.342159101821057,"downward.heuristic",0.653266103949992,0.431383589187553,"downward.heuristic"
"6","run006",0.407655639591036,0.502344464104337,"pure.undefined",0.643443601078139,0.457174481014378,"downward.heuristic"
"7","run007",0.639878796417237,0.423799555417132,"downward.heuristic",0.5385347503078,0.34511206729999,"downward.heuristic"
"8","run008",0.731133527572819,0.379649560332855,"downward.heuristic",0.680332037925126,0.332895838393155,"downward.heuristic"
"9","run009",0.757367200672048,0.326216629483164,"downward.heuristic",0.597458217327403,0.423527616226465,"downward.heuristic"
"10","run010",0.570851580425419,0.414012428348536,"downward.heuristic",0.786676030733568,0.324994590451837,"downward.heuristic"
"11","run011",0.516984522592699,0.479656719701914,"downward.heuristic",0.729493537507888,0.349477257923996,"downward.heuristic"
"12","run012",0.660680634393102,0.391440178553471,"downward.heuristic",0.496378764940227,0.489222716579363,"downward.heuristic"
"13","run013",0.627603602041013,0.50919647188322,"downward.heuristic",0.526087499966058,0.353447456268381,"downward.heuristic"
"14","run014",0.774403950783928,0.409136521079438,"downward.heuristic",0.539748151759157,0.330770195840682,"downward.heuristic"
"15","run015",0.648915026445833,0.472273320296029,"downward.heuristic",0.609876684158153,0.34175149883629,"downward.heuristic"
"16","run016",0.64479427946917,0.30518086638458,"downward.heuristic",0.625404141999191,0.438822673438865,"downward.heuristic"
"17","run017",0.463133555626624,0.346086422609994,"downward.heuristic",0.775159251120719,0.285969789022128,"downward.heuristic"
"18","run018",0.6349136558952,0.538365832870134,"downward.heuristic",0.791467312019693,0.314992327433184,"downward.heuristic"
"19","run019",0.509918603598775,0.423837465516174,"downward.heuristic",0.662071316554348,0.49963325231257,"downward.heuristic"
"20","run020",0.574557752756498,0.493599251446124,"downward.heuristic",0.763130528887492,0.332908397462001,"downward.heuristic"
"21","run021",0.628846750081272,0.483851690657996,"downward.heuristic",0.716762095012564,0.353768437759858,"downward.heuristic"
"22","run022",0.536247106466216,0.410385253769586,"downward.heuristic",0.682458881322617,0.388266628101268,"downward.heuristic"
"23","run023",0.682934963752321,0.45126976279476,"downward.heuristic",0.35090661476438,0.451960371184112,"pure.undefined"
"24","run024",0.648349294252574,0.327786254683062,"downward.heuristic",0.469674180528992,0.433091318752691,"downward.heuristic"
"25","run025",0.50163625117033,0.30864917479799,"downward.heuristic",0.738436862825678,0.35052295707439,"downward.heuristic"
"26","run026",0.737475355030431,0.297999428884032,"downward.heuristic",0.550402230176227,0.502905033005335,"downward.heuristic"
"27","run027",0.629079820983675,0.38243505585115,"downward.heuristic",0.661998814874589,0.387249844809135,"downward.heuristic"
"28","run028",0.505454465122144,0.425091074843298,"downward.heuristic",0.564735956318481,0.499799360346696,"downward.heuristic"
"29","run029",0.430489973807352,0.433645994542163,"downward.heuristic",0.773465428728676,0.424337371129548,"downward.heuristic"
"30","run030",0.553954573429407,0.541788161352163,"pure.bully",0.717651590571072,0.355406372171557,"downward.heuristic"
"31","run031",0.664497351688936,0.353034446322391,"downward.heuristic",0.477609919873181,0.343198929237621,"downward.heuristic"
"32","run032",0.628939463986814,0.521649577699908,"pure.bully",0.460067566597944,0.319594102677901,"downward.heuristic"
"33","run033",0.426999816178543,0.371946069916803,"downward.heuristic",0.631572017255076,0.474065082417974,"downward.heuristic"
"34","run034",0.480027138592583,0.496640113411737,"downward.heuristic",0.683087226548875,0.433160988468192,"downward.heuristic"
"35","run035",0.655408058130883,0.379839182468918,"downward.heuristic",0.541568735322819,0.403348626149087,"downward.heuristic"
"36","run036",0.523996022753555,0.347561237404883,"downward.heuristic",0.748839416497933,0.396836912391361,"downward.heuristic"
"37","run037",0.498577452869871,0.426275896253199,"downward.heuristic",0.744806636806679,0.306584728367228,"downward.heuristic"
"38","run038",0.461454191506212,0.441691004265203,"downward.heuristic",0.730158379800882,0.317846989801212,"downward.heuristic"
"39","run039",0.653685639106961,0.499115703754718,"downward.heuristic",0.557196382617365,0.362814088812525,"downward.heuristic"
"40","run040",0.729423719468271,0.290185820422812,"downward.heuristic",0.599329348373343,0.491538043769668,"downward.heuristic"
"41","run041",0.486735108362497,0.339574057858731,"downward.heuristic",0.672636767101388,0.596404178285198,"pure.bully"
"42","run042",0.69373139386668,0.442824888346011,"downward.heuristic",0.486591013086326,0.341217240242247,"downward.heuristic"
"43","run043",0.559674127292663,0.46395826618129,"downward.heuristic",0.659210702324669,0.399763285815681,"downward.heuristic"
"44","run044",0.580704334926833,0.381421031558876,"downward.heuristic",0.745439098733737,0.45812718127443,"downward.heuristic"
"45","run045",0.561591835467819,0.319770903413328,"downward.heuristic",0.63721463373298,0.388373049050746,"downward.heuristic"
"46","run046",0.702635862974778,0.433781194574919,"downward.heuristic",0.676016850790467,0.318527607451671,"downward.heuristic"
"47","run047",0.677020634030017,0.436002177351508,"downward.heuristic",0.553241383899437,0.468808510834504,"downward.heuristic"
"48","run048",0.692023075503509,0.423661088406632,"downward.heuristic",0.468381781471821,0.420551629228922,"downward.heuristic"
