"","run.code","focus.Rdisp","position.Rdisp","strategy.Rdisp"
"1","run001",0.403821796354495,0.411056121220054,"downward.heuristic"
"2","run002",0.431237400775679,0.466274831199409,"pure.bully"
"3","run003",0.380610769970054,0.354850080811786,"downward.heuristic"
"4","run004",0.360611704947565,0.422937727774978,"downward.heuristic"
"5","run005",0.413435552079651,0.42429789584292,"downward.heuristic"
"6","run006",0.310678880728381,0.400205620278865,"downward.heuristic"
"7","run007",0.54295380525763,0.474405225989226,"pure.bully"
"8","run008",0.365137644782976,0.416889975404105,"downward.heuristic"
"9","run009",0.311567665580034,0.381854751250106,"downward.heuristic"
"10","run010",0.310384321642308,0.373469447339052,"downward.heuristic"
"11","run011",0.311940496940517,0.374057183180541,"downward.heuristic"
"12","run012",0.399510587789741,0.418433789556751,"downward.heuristic"
"13","run013",0.437132552173373,0.577855640450079,"pure.bully"
"14","run014",0.357386825127841,0.474975326022148,"pure.bully"
"15","run015",0.364853869850493,0.441752423843093,"downward.heuristic"
"16","run016",0.41745574742193,0.434943714514792,"downward.heuristic"
"17","run017",0.434348195648987,0.341863158060858,"downward.heuristic"
"18","run018",0.258638568839702,0.452959657501909,"pure.bully"
"19","run019",0.398381039495306,0.415295761317896,"downward.heuristic"
"20","run020",0.407646434192732,0.416106606124257,"pure.bully"
"21","run021",0.410101378633663,0.424841206270031,"downward.heuristic"
"22","run022",0.339157536258481,0.4015727782562,"downward.heuristic"
"23","run023",0.413622414926681,0.434646382719252,"downward.heuristic"
"24","run024",0.428740122659745,0.469301843601846,"downward.heuristic"
"25","run025",0.318242236872902,0.409808661839057,"pure.bully"
"26","run026",0.311545733366912,0.371453016340034,"downward.heuristic"
"27","run027",0.222452214332877,0.421292026200662,"pure.bully"
"28","run028",0.412098114831157,0.447204161470059,"pure.bully"
"29","run029",0.440227017765736,0.395513512150205,"downward.heuristic"
"30","run030",0.264720772578201,0.413482279656972,"pure.bully"
"31","run031",0.186312180256156,0.453562283665536,"pure.undefined"
"32","run032",0.231922764760648,0.444001469394051,"pure.bully"
"33","run033",0.390222022371745,0.386181506054266,"downward.heuristic"
"34","run034",0.285470372383922,0.427996322812987,"pure.bully"
"35","run035",0.19705449986353,0.47034646579559,"pure.bully"
"36","run036",0.509930799143486,0.449500014661992,"pure.bully"
"37","run037",0.456001636170587,0.39182345745167,"downward.heuristic"
"38","run038",0.326012953402124,0.437944134068521,"pure.bully"
"39","run039",0.28671301910033,0.36904878503327,"downward.heuristic"
"40","run040",0.335318985433088,0.446799474424736,"pure.bully"
"41","run041",0.435261077776689,0.453563655611502,"pure.bully"
"42","run042",0.365331846843224,0.388018817704186,"downward.heuristic"
"43","run043",0.311229603053837,0.479321803862972,"pure.bully"
"44","run044",0.252805477804777,0.446412645624774,"pure.bully"
"45","run045",0.321327943662749,0.444380804917418,"pure.bully"
"46","run046",0.321108239733231,0.354655779646045,"downward.heuristic"
"47","run047",0.407479729453621,0.526376579955053,"pure.bully"
"48","run048",0.40891651258365,0.415829960395533,"downward.heuristic"
"49","run049",0.348689506950585,0.426037647100206,"pure.bully"
"50","run050",0.369953594140361,0.372437964185896,"downward.heuristic"
"51","run051",0.320090659874915,0.408689108344482,"downward.heuristic"
"52","run052",0.376843302583321,0.459634489438891,"pure.bully"
"53","run053",0.343912935411303,0.398188210114444,"downward.heuristic"
"54","run054",0.385075552502397,0.441972508053135,"pure.bully"
"55","run055",0.319287051723484,0.416149597601187,"pure.bully"
"56","run056",0.272346379313492,0.398152524699234,"downward.heuristic"
"57","run057",0.368854645392371,0.493561092646507,"pure.bully"
"58","run058",0.405122168146241,0.390517146088855,"downward.heuristic"
"59","run059",0.411061025844188,0.41606285778535,"downward.heuristic"
"60","run060",0.413297853358105,0.413602157865647,"downward.heuristic"
"61","run061",0.327777209303454,0.428631412358904,"pure.bully"
"62","run062",0.460574464141213,0.577344789323323,"pure.bully"
"63","run063",0.270892266848568,0.364017039231844,"downward.heuristic"
"64","run064",0.432920070076251,0.487296738551047,"pure.bully"
"65","run065",0.308377877924524,0.385091551033351,"downward.heuristic"
"66","run066",0.422078012515635,0.363389694683358,"downward.heuristic"
"67","run067",0.385149755302214,0.437588834805209,"downward.heuristic"
"68","run068",0.351261686941015,0.389587453911778,"downward.heuristic"
"69","run069",0.313095243860359,0.382950402013882,"downward.heuristic"
"70","run070",0.404073619997775,0.41963794989028,"downward.heuristic"
"71","run071",0.253818763980803,0.377256695752308,"downward.heuristic"
"72","run072",0.323597109290129,0.465958555702167,"pure.bully"
"73","run073",0.361093062067936,0.431025796854608,"downward.heuristic"
"74","run074",0.280753184138992,0.415142187228175,"pure.bully"
"75","run075",0.411356408801208,0.447017397721901,"downward.heuristic"
"76","run076",0.436874961226026,0.355258273217798,"downward.heuristic"
"77","run077",0.403881830590319,0.413085535320328,"downward.heuristic"
"78","run078",0.351539970708721,0.413921146181849,"pure.bully"
"79","run079",0.37448894321463,0.448284576468171,"pure.bully"
"80","run080",0.362499472578212,0.43564951787371,"pure.bully"
"81","run081",0.389648163909683,0.42097322674342,"downward.heuristic"
"82","run082",0.317135261473249,0.4287515160483,"pure.bully"
"83","run083",0.240873238980762,0.446441673877896,"pure.bully"
"84","run084",0.394234933126101,0.429591308578719,"downward.heuristic"
"85","run085",0.407216460142671,0.394140684644006,"downward.heuristic"
"86","run086",0.339437611678769,0.485864819564914,"pure.bully"
"87","run087",0.358380602104328,0.437776567146219,"pure.bully"
"88","run088",0.270365960062553,0.389180133488572,"downward.heuristic"
"89","run089",0.368159250049778,0.432883387954289,"pure.bully"
"90","run090",0.450695022532347,0.457478211566477,"downward.heuristic"
"91","run091",0.409397420578068,0.43973038085678,"pure.bully"
"92","run092",0.373904457171147,0.390484564512536,"downward.heuristic"
"93","run093",0.327502765659368,0.456071111809949,"downward.heuristic"
"94","run094",0.167283504891039,0.446498308847853,"pure.bully"
"95","run095",0.394290770622671,0.428043425747903,"downward.heuristic"
"96","run096",0.269313128240137,0.366848053699383,"downward.heuristic"
"97","run097",0.488039233206687,0.388711695147933,"downward.heuristic"
"98","run098",0.223997070667217,0.425607700540895,"pure.bully"
"99","run099",0.4066231908601,0.403352133506677,"downward.heuristic"
"100","run100",0.445671398844808,0.467894265825453,"pure.bully"
